source_file,source_row,column_name,issue_type,severity,raw_value,action_taken,detail
source1_naukri_applicants.csv,28,Current CTC,ctc_mixed_units,high,6.6,Interpreted as 6.6 LPA -> 660000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,31,Current CTC,ctc_mixed_units,high,6.1,Interpreted as 6.1 LPA -> 610000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,32,Current CTC,ctc_mixed_units,high,7.6,Interpreted as 7.6 LPA -> 760000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,34,Current CTC,ctc_mixed_units,high,2.7,Interpreted as 2.7 LPA -> 270000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,36,Current CTC,ctc_mixed_units,high,11.4,Interpreted as 11.4 LPA -> 1140000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,37,Current CTC,ctc_mixed_units,high,7.8,Interpreted as 7.8 LPA -> 780000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,39,Current CTC,ctc_mixed_units,high,9.3,Interpreted as 9.3 LPA -> 930000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,40,Current CTC,ctc_mixed_units,high,5.9,Interpreted as 5.9 LPA -> 590000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,42,Current CTC,ctc_mixed_units,high,10.3,Interpreted as 10.3 LPA -> 1030000 INR/year,Column mixes absolute INR and lakhs-per-annum. Values below 100 treated as LPA
source1_naukri_applicants.csv,4,Applied Date,date_ambiguous,high,01-08-2026,Read as DD-MM-YYYY -> 2026-08-01,Both parts <= 12. Dash format resolved as day-first because 24-07-2026 exists in this file and can only be DD-MM
source1_naukri_applicants.csv,12,Applied Date,date_ambiguous,high,07/03/2026,Read as MM/DD/YYYY -> 2026-07-03,Both parts <= 12. Slash format resolved as US order because 07/13/2026 exists in this file and can only be MM/DD
source1_naukri_applicants.csv,22,Applied Date,date_ambiguous,high,03-07-2026,Read as DD-MM-YYYY -> 2026-07-03,Both parts <= 12. Dash format resolved as day-first because 24-07-2026 exists in this file and can only be DD-MM
source1_naukri_applicants.csv,27,Applied Date,date_ambiguous,high,07/03/2026,Read as MM/DD/YYYY -> 2026-07-03,Both parts <= 12. Slash format resolved as US order because 07/13/2026 exists in this file and can only be MM/DD
source1_naukri_applicants.csv,35,Applied Date,date_ambiguous,high,08/11/2026,Read as MM/DD/YYYY -> 2026-08-11,Both parts <= 12. Slash format resolved as US order because 07/13/2026 exists in this file and can only be MM/DD
source1_naukri_applicants.csv,37,Applied Date,date_ambiguous,high,07/03/2026,Read as MM/DD/YYYY -> 2026-07-03,Both parts <= 12. Slash format resolved as US order because 07/13/2026 exists in this file and can only be MM/DD
source1_naukri_applicants.csv,41,Applied Date,date_ambiguous,high,02-06-2026,Read as DD-MM-YYYY -> 2026-06-02,Both parts <= 12. Dash format resolved as day-first because 24-07-2026 exists in this file and can only be DD-MM
source1_naukri_applicants.csv,42,Applied Date,date_ambiguous,high,07/12/2026,Read as MM/DD/YYYY -> 2026-07-12,Both parts <= 12. Slash format resolved as US order because 07/13/2026 exists in this file and can only be MM/DD
source1_naukri_applicants.csv,31,,duplicate_person_same_email,high,R. Verma / Rohit Verma,Merged into one person on the shared email address,"Same email rohit.verma13@mailtest.example.org written under two different names (source1_naukri_applicants.csv:25, source1_naukri_applicants.csv:31)"
source2_gig_workers.csv,20,,duplicate_row_in_source,high,"react, javascript, mysql|ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG|Isha Chopra|1406/hr|Pune|active",Row dropped as a duplicate of row 7,Identical field-for-field after trimming and lower-casing
source3_cbnexus_contacts.csv,16,,repeated_header,high,Name|Phone Number|City|Verified|Projects Completed,Row dropped,"Header line repeated inside the data - would otherwise be ingested as a person named ""Name"""
source1_naukri_applicants.csv,37,,same_person_two_emails,high,alt.nikhil.chopra70@example.com / nikhil.chopra70@example.com,Merged on the shared phone number; both addresses kept in person_identifiers,"One person holding two email addresses (source1_naukri_applicants.csv:27, source1_naukri_applicants.csv:37) - an email-only match would have created two people"
source2_gig_workers.csv,12,,blank_row,medium,,Row dropped,Every field empty
source2_gig_workers.csv,7,email_id,email_case,medium,ISHA.CHOPRA95@MAILTEST.EXAMPLE.ORG,Lower-cased to isha.chopra95@mailtest.example.org,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,13,email_id,email_case,medium,VARUN.SAXENA21@EXAMPLE.IN,Lower-cased to varun.saxena21@example.in,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,15,email_id,email_case,medium,DEEPAK.NAIR44@EXAMPLE.COM,Lower-cased to deepak.nair44@example.com,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,17,email_id,email_case,medium,NEHA.BHATIA60@MAILTEST.EXAMPLE.ORG,Lower-cased to neha.bhatia60@mailtest.example.org,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,22,email_id,email_case,medium,KARAN.CHOPRA76@MAILTEST.EXAMPLE.ORG,Lower-cased to karan.chopra76@mailtest.example.org,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,25,email_id,email_case,medium,KAVYA.VERMA74@MAILTEST.EXAMPLE.ORG,Lower-cased to kavya.verma74@mailtest.example.org,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,26,email_id,email_case,medium,TANVI.REDDY80@EXAMPLE.COM,Lower-cased to tanvi.reddy80@example.com,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,31,email_id,email_case,medium,TANVI.SHARMA56@MAILTEST.EXAMPLE.ORG,Lower-cased to tanvi.sharma56@mailtest.example.org,Mixed-case email would not match the same address written in lower case
source2_gig_workers.csv,32,email_id,email_case,medium,DEEPAK.NAIR57@EXAMPLE.IN,Lower-cased to deepak.nair57@example.in,Mixed-case email would not match the same address written in lower case
source3_cbnexus_contacts.csv,28,,matched_on_name_and_city,medium,arjun mehta / Noida,Merged at medium confidence,"No identifier links these rows - source2 has no phone column and source3 has no email column, and neither person appears in source1. Merged because the name+city pair is unique across the dataset. Rows: source2_gig_workers.csv:18, source3_cbnexus_contacts.csv:28"
source3_cbnexus_contacts.csv,29,,matched_on_name_and_city,medium,bhatia manish / Noida,Merged at medium confidence,"No identifier links these rows - source2 has no phone column and source3 has no email column, and neither person appears in source1. Merged because the name+city pair is unique across the dataset. Rows: source2_gig_workers.csv:19, source3_cbnexus_contacts.csv:29"
source3_cbnexus_contacts.csv,30,,matched_on_name_and_city,medium,chopra divya / Noida,Merged at medium confidence,"No identifier links these rows - source2 has no phone column and source3 has no email column, and neither person appears in source1. Merged because the name+city pair is unique across the dataset. Rows: source2_gig_workers.csv:21, source3_cbnexus_contacts.csv:30"
source3_cbnexus_contacts.csv,31,,matched_on_name_and_city,medium,chopra karan / Pune,Merged at medium confidence,"No identifier links these rows - source2 has no phone column and source3 has no email column, and neither person appears in source1. Merged because the name+city pair is unique across the dataset. Rows: source2_gig_workers.csv:22, source3_cbnexus_contacts.csv:31"
source3_cbnexus_contacts.csv,32,,matched_on_name_and_city,medium,mehta vikram / Pune,Merged at medium confidence,"No identifier links these rows - source2 has no phone column and source3 has no email column, and neither person appears in source1. Merged because the name+city pair is unique across the dataset. Rows: source2_gig_workers.csv:23, source3_cbnexus_contacts.csv:32"
source1_naukri_applicants.csv,27,email,multiple_emails_one_person,medium,alt.nikhil.chopra70@example.com / nikhil.chopra70@example.com,"Primary set to nikhil.chopra70@example.com, all addresses kept in person_identifiers",One human holding more than one email address across the source systems
source1_naukri_applicants.csv,25,Full Name,name_abbreviated,medium,R. Verma,Excluded initials from the match key,Abbreviated given name cannot safely drive a name-based match
source3_cbnexus_contacts.csv,28,,name_city_shared_with_third_person,medium,arjun mehta / Noida,Merged the email-only and phone-only rows; the complete cluster was ruled out,"Another person with the same name and city already has both an email and a phone (source1_naukri_applicants.csv:20, source3_cbnexus_contacts.csv:5), so they cannot be the missing half of this pair. Their skill set also differs from the unmatched row, so they are not its owner either."
source2_gig_workers.csv,6,rate,rate_mixed_units,medium,15k/month,Converted 15000 INR/month -> 85.23 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,10,rate,rate_mixed_units,medium,72k/month,Converted 72000 INR/month -> 409.09 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,14,rate,rate_mixed_units,medium,28k/month,Converted 28000 INR/month -> 159.09 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,16,rate,rate_mixed_units,medium,56k/month,Converted 56000 INR/month -> 318.18 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,17,rate,rate_mixed_units,medium,79k/month,Converted 79000 INR/month -> 448.86 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,18,rate,rate_mixed_units,medium,42k/month,Converted 42000 INR/month -> 238.64 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,19,rate,rate_mixed_units,medium,73k/month,Converted 73000 INR/month -> 414.77 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,21,rate,rate_mixed_units,medium,55k/month,Converted 55000 INR/month -> 312.5 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,23,rate,rate_mixed_units,medium,22k/month,Converted 22000 INR/month -> 125 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,24,rate,rate_mixed_units,medium,21k/month,Converted 21000 INR/month -> 119.32 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,26,rate,rate_mixed_units,medium,59k/month,Converted 59000 INR/month -> 335.23 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,28,rate,rate_mixed_units,medium,38k/month,Converted 38000 INR/month -> 215.91 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,31,rate,rate_mixed_units,medium,73k/month,Converted 73000 INR/month -> 414.77 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source2_gig_workers.csv,33,rate,rate_mixed_units,medium,71k/month,Converted 71000 INR/month -> 403.41 INR/hour,Column mixes /hr and k/month. Assumed 176 working hours per month (22 days x 8h)
source3_cbnexus_contacts.csv,2,Verified,boolean_inconsistent,low,Y,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,3,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,4,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,5,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,6,Verified,boolean_inconsistent,low,Y,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,7,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,8,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,9,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,10,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,11,Verified,boolean_inconsistent,low,Y,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,12,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,13,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,14,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,15,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,17,Verified,boolean_inconsistent,low,yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,18,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,19,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,20,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,21,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,22,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,23,Verified,boolean_inconsistent,low,Y,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,24,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,25,Verified,boolean_inconsistent,low,Yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,26,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,27,Verified,boolean_inconsistent,low,No,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,28,Verified,boolean_inconsistent,low,Yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,29,Verified,boolean_inconsistent,low,Yes,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,30,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,31,Verified,boolean_inconsistent,low,N,Normalised to 0,Column uses Y/N/yes/Yes/No interchangeably
source3_cbnexus_contacts.csv,32,Verified,boolean_inconsistent,low,Y,Normalised to 1,Column uses Y/N/yes/Yes/No interchangeably
source1_naukri_applicants.csv,3,City,city_variant,low,GURGAON,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,4,City,city_variant,low,GURGAON,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,5,City,city_variant,low,GURGAON,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,12,City,city_variant,low,new delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,14,City,city_variant,low,New Delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,18,City,city_variant,low,Delhi NCR,"Mapped to ""Delhi""","Delhi NCR is a region, not a city - it also contains Noida and Gurugram, so this collapse loses information"
source1_naukri_applicants.csv,25,City,city_variant,low,Bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,31,City,city_variant,low,Bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,33,City,city_variant,low,bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,35,City,city_variant,low,bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,36,City,city_variant,low,Delhi NCR,"Mapped to ""Delhi""","Delhi NCR is a region, not a city - it also contains Noida and Gurugram, so this collapse loses information"
source1_naukri_applicants.csv,40,City,city_variant,low,new delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,41,City,city_variant,low,new delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source2_gig_workers.csv,8,location,city_variant,low,New Delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source2_gig_workers.csv,9,location,city_variant,low,Gurgaon,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source2_gig_workers.csv,11,location,city_variant,low,bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source2_gig_workers.csv,16,location,city_variant,low,bangalore,"Mapped to ""Bengaluru""",Case variant or renamed-city synonym
source2_gig_workers.csv,28,location,city_variant,low,new delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source2_gig_workers.csv,32,location,city_variant,low,New Delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,2,City,city_variant,low,Gurgaon,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,4,City,city_variant,low,New Delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,7,City,city_variant,low,Delhi NCR,"Mapped to ""Delhi""","Delhi NCR is a region, not a city - it also contains Noida and Gurugram, so this collapse loses information"
source3_cbnexus_contacts.csv,15,City,city_variant,low,new delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,17,City,city_variant,low,New Delhi,"Mapped to ""Delhi""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,20,City,city_variant,low,Gurgaon,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source3_cbnexus_contacts.csv,23,City,city_variant,low,GURGAON,"Mapped to ""Gurugram""",Case variant or renamed-city synonym
source1_naukri_applicants.csv,10,City,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source1_naukri_applicants.csv,13,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source1_naukri_applicants.csv,15,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source1_naukri_applicants.csv,16,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source1_naukri_applicants.csv,29,City,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source2_gig_workers.csv,4,location,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source2_gig_workers.csv,13,location,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source2_gig_workers.csv,25,location,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source2_gig_workers.csv,27,location,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source2_gig_workers.csv,29,location,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source3_cbnexus_contacts.csv,3,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source3_cbnexus_contacts.csv,11,City,city_whitespace,low,gurugram ,"Trimmed to ""gurugram""",Trailing whitespace would break grouping
source3_cbnexus_contacts.csv,21,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source3_cbnexus_contacts.csv,29,City,city_whitespace,low,Noida ,"Trimmed to ""Noida""",Trailing whitespace would break grouping
source1_naukri_applicants.csv,2,Applied Date,date_format,low,24-07-2026,Parsed as DD-MM-YYYY -> 2026-07-24,Column mixes five date formats
source1_naukri_applicants.csv,4,Applied Date,date_format,low,01-08-2026,Parsed as DD-MM-YYYY -> 2026-08-01,Column mixes five date formats
source1_naukri_applicants.csv,5,Applied Date,date_format,low,7 Jul 2026,Parsed as D MMM YYYY -> 2026-07-07,Column mixes five date formats
source1_naukri_applicants.csv,6,Applied Date,date_format,low,19-07-2026,Parsed as DD-MM-YYYY -> 2026-07-19,Column mixes five date formats
source1_naukri_applicants.csv,7,Applied Date,date_format,low,07/13/2026,Parsed as MM/DD/YYYY -> 2026-07-13,Column mixes five date formats
source1_naukri_applicants.csv,8,Applied Date,date_format,low,19 Jul 2026,Parsed as D MMM YYYY -> 2026-07-19,Column mixes five date formats
source1_naukri_applicants.csv,10,Applied Date,date_format,low,28-07-2026,Parsed as DD-MM-YYYY -> 2026-07-28,Column mixes five date formats
source1_naukri_applicants.csv,12,Applied Date,date_format,low,07/03/2026,Parsed as MM/DD/YYYY -> 2026-07-03,Column mixes five date formats
source1_naukri_applicants.csv,14,Applied Date,date_format,low,21-08-2026,Parsed as DD-MM-YYYY -> 2026-08-21,Column mixes five date formats
source1_naukri_applicants.csv,15,Applied Date,date_format,low,8 Jul 2026,Parsed as D MMM YYYY -> 2026-07-08,Column mixes five date formats
source1_naukri_applicants.csv,17,Applied Date,date_format,low,22-08-2026,Parsed as DD-MM-YYYY -> 2026-08-22,Column mixes five date formats
source1_naukri_applicants.csv,19,Applied Date,date_format,low,08/19/2026,Parsed as MM/DD/YYYY -> 2026-08-19,Column mixes five date formats
source1_naukri_applicants.csv,20,Applied Date,date_format,low,21-07-2026,Parsed as DD-MM-YYYY -> 2026-07-21,Column mixes five date formats
source1_naukri_applicants.csv,21,Applied Date,date_format,low,2 Jul 2026,Parsed as D MMM YYYY -> 2026-07-02,Column mixes five date formats
source1_naukri_applicants.csv,22,Applied Date,date_format,low,03-07-2026,Parsed as DD-MM-YYYY -> 2026-07-03,Column mixes five date formats
source1_naukri_applicants.csv,24,Applied Date,date_format,low,24-06-2026,Parsed as DD-MM-YYYY -> 2026-06-24,Column mixes five date formats
source1_naukri_applicants.csv,25,Applied Date,date_format,low,08/13/2026,Parsed as MM/DD/YYYY -> 2026-08-13,Column mixes five date formats
source1_naukri_applicants.csv,26,Applied Date,date_format,low,15-06-2026,Parsed as DD-MM-YYYY -> 2026-06-15,Column mixes five date formats
source1_naukri_applicants.csv,27,Applied Date,date_format,low,07/03/2026,Parsed as MM/DD/YYYY -> 2026-07-03,Column mixes five date formats
source1_naukri_applicants.csv,28,Applied Date,date_format,low,08/16/2026,Parsed as MM/DD/YYYY -> 2026-08-16,Column mixes five date formats
source1_naukri_applicants.csv,29,Applied Date,date_format,low,5 Jul 2026,Parsed as D MMM YYYY -> 2026-07-05,Column mixes five date formats
source1_naukri_applicants.csv,30,Applied Date,date_format,low,19-07-2026,Parsed as DD-MM-YYYY -> 2026-07-19,Column mixes five date formats
source1_naukri_applicants.csv,31,Applied Date,date_format,low,08/13/2026,Parsed as MM/DD/YYYY -> 2026-08-13,Column mixes five date formats
source1_naukri_applicants.csv,33,Applied Date,date_format,low,15 Jul 2026,Parsed as D MMM YYYY -> 2026-07-15,Column mixes five date formats
source1_naukri_applicants.csv,34,Applied Date,date_format,low,27 Jul 2026,Parsed as D MMM YYYY -> 2026-07-27,Column mixes five date formats
source1_naukri_applicants.csv,35,Applied Date,date_format,low,08/11/2026,Parsed as MM/DD/YYYY -> 2026-08-11,Column mixes five date formats
source1_naukri_applicants.csv,36,Applied Date,date_format,low,21 Jul 2026,Parsed as D MMM YYYY -> 2026-07-21,Column mixes five date formats
source1_naukri_applicants.csv,37,Applied Date,date_format,low,07/03/2026,Parsed as MM/DD/YYYY -> 2026-07-03,Column mixes five date formats
source1_naukri_applicants.csv,38,Applied Date,date_format,low,27 Jul 2026,Parsed as D MMM YYYY -> 2026-07-27,Column mixes five date formats
source1_naukri_applicants.csv,40,Applied Date,date_format,low,08/21/2026,Parsed as MM/DD/YYYY -> 2026-08-21,Column mixes five date formats
source1_naukri_applicants.csv,41,Applied Date,date_format,low,02-06-2026,Parsed as DD-MM-YYYY -> 2026-06-02,Column mixes five date formats
source1_naukri_applicants.csv,42,Applied Date,date_format,low,07/12/2026,Parsed as MM/DD/YYYY -> 2026-07-12,Column mixes five date formats
source1_naukri_applicants.csv,43,Applied Date,date_format,low,22 Jul 2026,Parsed as D MMM YYYY -> 2026-07-22,Column mixes five date formats
source3_cbnexus_contacts.csv,3,Name,name_case,low,RITU SHARMA,"Re-cased to ""Ritu Sharma""",Stored in ALL CAPS in this source
source3_cbnexus_contacts.csv,7,Name,name_case,low,RAHUL MALHOTRA,"Re-cased to ""Rahul Malhotra""",Stored in ALL CAPS in this source
source3_cbnexus_contacts.csv,9,Name,name_case,low,SAHIL MALHOTRA,"Re-cased to ""Sahil Malhotra""",Stored in ALL CAPS in this source
source3_cbnexus_contacts.csv,14,Name,name_case,low,KARAN BHATIA,"Re-cased to ""Karan Bhatia""",Stored in ALL CAPS in this source
